# n search insert delete max min predecessor successor
100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5000 40.000000 0.000000 5.000000 5.000000 40.000000 20.000000 10.000000
10000 20.000000 0.000000 10.000000 20.000000 30.000000 35.000000 35.000000
25000 55.000000 0.000000 40.000000 55.000000 70.000000 85.000000 80.000000
50000 100.000000 0.000000 65.000000 105.000000 120.000000 150.000000 85.000000
75000 210.000000 0.000000 85.000000 165.000000 190.000000 210.000000 230.000000
