# n search insert delete max min predecessor successor
100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5000 0.000000 0.000000 10.000000 0.000000 0.000000 0.000000 0.000000
10000 0.000000 0.000000 35.000000 0.000000 0.000000 0.000000 0.000000
25000 0.000000 0.000000 90.000000 0.000000 0.000000 0.000000 0.000000
50000 0.000000 0.000000 110.000000 0.000000 0.000000 0.000000 0.000000
75000 40.000000 0.000000 220.000000 0.000000 0.000000 0.000000 0.000000
