# n search insert delete max min predecessor successor
100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
500 0.000000 0.000000 0.000000 10.000000 0.000000 0.000000 0.000000
1000 0.000000 0.000000 0.000000 10.000000 0.000000 0.000000 0.000000
5000 20.000000 0.000000 0.000000 15.000000 15.000000 0.000000 0.000000
10000 50.000000 0.000000 0.000000 20.000000 10.000000 35.000000 35.000000
25000 65.000000 0.000000 0.000000 55.000000 60.000000 65.000000 75.000000
50000 115.000000 10.000000 15.000000 375.000000 130.000000 155.000000 170.000000
75000 195.000000 0.000000 0.000000 180.000000 190.000000 165.000000 250.000000
