# n search insert delete max min predecessor successor
100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1000 0.000000 0.000000 0.000000 25.000000 0.000000 0.000000 0.000000
5000 10.000000 15.000000 10.000000 20.000000 0.000000 0.000000 0.000000
10000 30.000000 30.000000 10.000000 15.000000 0.000000 0.000000 0.000000
25000 85.000000 85.000000 35.000000 15.000000 0.000000 0.000000 0.000000
50000 165.000000 90.000000 65.000000 90.000000 0.000000 0.000000 0.000000
75000 235.000000 155.000000 80.000000 185.000000 0.000000 0.000000 0.000000
