# n search insert delete max min predecessor successor
100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5000 10.000000 0.000000 10.000000 10.000000 15.000000 10.000000 10.000000
10000 45.000000 0.000000 0.000000 15.000000 20.000000 25.000000 45.000000
25000 60.000000 0.000000 0.000000 30.000000 70.000000 55.000000 115.000000
50000 130.000000 0.000000 0.000000 130.000000 100.000000 160.000000 80.000000
75000 155.000000 0.000000 0.000000 165.000000 185.000000 205.000000 205.000000
