# n search insert delete max min predecessor successor
100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
500 0.000000 0.000000 30.000000 0.000000 0.000000 0.000000 0.000000
1000 0.000000 0.000000 10.000000 0.000000 0.000000 0.000000 0.000000
5000 20.000000 20.000000 15.000000 15.000000 0.000000 0.000000 0.000000
10000 0.000000 65.000000 20.000000 0.000000 0.000000 40.000000 0.000000
25000 80.000000 40.000000 125.000000 0.000000 0.000000 70.000000 0.000000
50000 175.000000 100.000000 190.000000 80.000000 0.000000 0.000000 0.000000
75000 225.000000 160.000000 320.000000 155.000000 0.000000 90.000000 0.000000
