# n comparisons theoretical_3n_over_2
2 1 3.0
4 4 6.0
8 10 12.0
16 22 24.0
32 46 48.0
64 94 96.0
128 190 192.0
256 382 384.0
512 766 768.0
1024 1534 1536.0
